x0,xf,f,nit,grad_norm,success
"(-10, -70)",[-1.57220210e-05 -3.56173306e+02],-3.135985196854378,200,2.223429532442251e-05,False
"(-10, -60)",[-2.13591067e-05 -3.05510803e+02],-3.135056802839754,200,3.0206338335945498e-05,False
"(-10, -50)",[-3.59421660e-15 -3.82483312e+02],-3.1363704256937437,200,1.9284230666064496e-05,False
"(-10, -40)",[ 8.53676735e-15 -3.06424878e+02],-3.1350762685244105,200,3.0026680120960774e-05,False
"(-10, -30)",[-1.66911307e-05 -3.45664492e+02],-3.13581496108566,200,2.3604823390189316e-05,False
"(-10, -20)",[-9.11790310e-16 -3.46989327e+02],-3.135836989776904,200,2.342516903231956e-05,False
"(-10, -10)",[ 6.48410497e-16 -3.91473298e+02],-3.1364902015593383,200,1.8409766522620577e-05,False
"(-10, 0)",[-2.11746779e-05 -3.06840490e+02],-3.1350850808914,200,2.9945516688295077e-05,False
"(-10, 10)",[-1.40740067e-05 -3.76477032e+02],-3.1362872190300064,200,1.9903651147235417e-05,False
"(-10, 20)",[-0.04540009  7.03627958],2.821411388944743,200,0.06535139661877809,False
"(-10, 30)",[-2.28787777e-03  2.95257606e+01],3.0725312797098105,200,0.0032388007489009356,False
"(-10, 40)",[-2.19858506e-03  3.95030269e+01],3.0902518902101708,200,0.0033484226204445354,False
"(-10, 50)",[-2.29708178e-03  4.91028625e+01],3.1004127471877316,200,0.0038403424090641446,False
"(-10, 60)",[-2.43360542e-03  5.84522795e+01],3.1070662732358887,200,0.0043120989008476425,False
"(-10, 70)",[-2.57658251e-03  6.75561997e+01],3.1117597019513155,200,0.004728796511163916,False
"(-10, 80)",[-2.71844412e-03  7.64083761e+01],3.115242780794187,200,0.005101267628031024,False
"(-10, 90)",[-2.85814919e-03  8.49997349e+01],3.117924954242357,200,0.005443174242153882,False
"(-10, 100)",[-2.99659296e-03  9.33197597e+01],3.120049007149785,200,0.005765558511808264,False
"(0, -100)",[-1.73953718e-05 -3.38585311e+02],-3.135694334574083,200,2.4600770683736194e-05,False
