x0,xf,f,nit,grad_norm,success
"(90, 20)",[-5.35574084e-07 -4.98046639e+02],-3.137580961875473,27,1.0649583596611298e-05,True
"(90, 30)",[ 1.94550342e-06 -1.23907869e+03],-3.139979200149164,31,5.3532753692176485e-06,True
"(90, 40)",[-2.50996131e-06 -2.30168203e+03],-3.1407239122365063,31,4.657877552092482e-06,True
"(90, 50)",[ 1.80854076e-06 -2.18463037e+03],-3.1406773760196773,31,4.057625794978729e-06,True
"(90, 60)",[ 4.79326004e-06 -2.46818024e+03],-3.140782503834672,32,9.92012113724737e-06,True
"(90, 70)",[-3.85346561e-06 -9.05199770e+02],-3.1393844111405125,28,5.805557737369852e-06,True
"(90, 80)",[ 2.42598186e-06 -1.97443254e+04],-3.141491361221488,39,4.857096507804853e-06,True
"(90, 90)",[-1.63572849e-06 -1.68901071e+03],-3.140408878111973,29,2.6645659369367536e-06,True
"(90, 100)",[ 2.17741925e-06 -4.39828948e+03],-3.1411379829971677,32,4.459399254383036e-06,True
"(100, -100)",[-3.80937737e-06 -5.49182552e+06],-3.1415922893976855,56,7.618754679276507e-06,True
"(100, -90)",[-2.81825495e-06 -5.20219703e+06],-3.1415922691289366,53,5.636509821637411e-06,True
"(100, -80)",[ 2.72401960e-06 -5.77701334e+07],-3.141592618962408,56,5.448039196847548e-06,True
"(100, -70)",[ 1.93184413e-08 -3.62166985e+07],-3.1415925983666484,57,3.863688419305319e-08,True
"(100, -60)",[ 1.89532107e-06 -1.13343836e+07],-3.1415924771319728,64,3.790642160288192e-06,True
"(100, -50)",[-1.29107543e-06 -9.40033127e+06],-3.1415924408296783,59,2.582150831723275e-06,True
"(100, -40)",[-7.99474053e-08 -5.92817345e+06],-3.1415923162177704,52,1.5989475375425827e-07,True
"(100, -30)",[ 1.62582545e-06 -6.26926047e+06],-3.141592334570282,58,3.2516509504839907e-06,True
"(100, -20)",[-1.59446973e-06 -1.40675326e+07],-3.1415925114159124,59,3.1889394492900033e-06,True
"(100, -10)",[-4.82863219e-06 -2.24968525e+07],-3.1415925646651544,61,9.657264373087655e-06,True
"(100, 0)",[ 3.09693728e-14 -5.45443175e+02],-3.1379292451009677,24,9.489831292810066e-06,True
